event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
9451,40.27230453,-103.5874187,CO,2022072421,2022072421,2022072505,2022072411,2022072514,28.726,93.75,36,209.9094142,5.947243339,45.25,532.7238178,7,65.024,80.518,93.218,106.68,140.502087,156.250087,0,0,1,0,1
9452,44.14381223,-103.3438308,SD,2022072421,2022072420,2022072506,2022072417,2022072508,2.9080815,79.625,2,3.04146564,6.127663896,49.125,341.7399825,5,76.7169185,101.6746481,124.8543778,151.6388474,228.4296431,267.5943831,0,0,1,0,1
9453,38.68086481,-87.30450831,IN,2022072500,2022072423,2022072507,2022072414,2022072612,55.222,152.25,148,2603.838333,11.74840055,50.25,402.1224804,8,97.028,115.3506067,130.302,145.8710575,185.3581689,203.7830575,0,0,1,1,1
9454,38.90757555,-96.0065129,KS,2022072506,2022072503,2022072515,2022072502,2022072515,1.922,118,1,1.922,0,32.25,1381.620066,11,116.078,140.208,159.512,179.0929606,227.0989606,248.4349606,0,0,1,1,1
9455,44.48911462,-100.9738024,SD,2022072520,2022072519,2022072600,2022072509,2022072608,38.32049897,106.875,8,168.5199002,9.704289907,70.25,130.5023597,0,68.55450103,83.64351841,96.08951841,109.22,142.8255184,158.5735184,0,1,0,0,1
9456,38.88074975,-91.01524948,MO,2022072607,2022072603,2022072615,2022072519,2022072621,147.827,246.125,518,22343.95618,11.7656178,52.625,1379.304588,12,98.298,121.1279201,140.8596373,162.4631048,220.9616573,249.4096573,0,0,1,1,1
9457,37.62174615,-82.76878658,KY,2022072614,2022072611,2022072619,2022072603,2022072702,51.96194294,129.75,89,1555.347168,11.6452823,31.25,1379.304588,8,77.78805706,92.52005706,104.7120571,117.6410799,150.9400571,166.9811369,0,0,1,0,1
9458,37.21603062,-82.02529051,VA,2022072711,2022072709,2022072721,2022072706,2022072723,12.77282576,89.5,5,30.4724243,9.181027209,30.375,508.4716235,5,76.72717424,91.96717424,104.9211742,118.8911742,156.5023485,175.5529784,0,0,1,0,1
9459,37.24611974,-83.21064677,KY,2022072805,2022072800,2022072812,2022072715,2022072820,127.833,209.875,390,15196.7181,11.60704576,45.875,664.4668246,10,82.042,97.536,110.49,124.206,160.274,177.8,0,0,1,1,1
9460,40.22102142,-102.995175,CO,2022072805,2022072802,2022072813,2022072717,2022072817,46.432,114.25,72,1127.973508,11.88809608,33.25,376.6401564,5,67.818,82.804,94.996,107.696,139.954,154.8333342,0,0,1,1,1
9461,44.07905293,-70.20457868,ME,2022072823,2022072822,2022072901,2022072813,2022072911,12.60399847,107.5999985,1,12.60399847,0,76.875,467.6592216,3,94.996,114.4302271,129.4162271,144.4022271,190.9432598,211.0092598,0,0,0,0,1
9462,36.55460645,-100.2752699,OK,2022072910,2022072907,2022072919,2022072820,2022072921,12.447,103.125,3,21.32,4.081394525,40.125,907.6218921,6,90.678,111.252,128.016,145.6825784,192.1601781,214.1184498,0,0,1,1,1
9463,42.90812567,-103.6031368,NE,2022072920,2022072919,2022072921,2022072909,2022073007,1.125,64.625,2,2.231,0,33,30.0995761,0,63.5,77.97571625,89.662,102.1057163,133.7565577,148.4885577,0,1,0,0,1
9464,35.00234419,-101.1381845,TX,2022073003,2022073002,2022073014,2022072821,2022073019,85.06550353,182.2000061,252,3373.800011,8.965817817,86.875,1190.362151,10,97.13450259,119.4865026,137.3429896,156.2749335,206.1354205,229.7574205,0,0,1,1,1
9465,35.92810169,-91.07746383,AR,2022073004,2022073003,2022073015,2022072916,2022073020,55.946,170.5,8,152.7170105,0,76,1190.362151,5,114.554,135.128,151.4787021,168.4298677,210.2942802,229.2305697,0,0,1,1,1
9466,33.21850639,-79.46926233,SC,2022073022,2022073020,2022073108,2022073012,2022073110,37.41577712,172.25,3,45.90658309,5.595059304,66.125,145.8999555,0,134.8342229,163.9442187,193.3908349,221.8388349,293.6422523,335.0442523,0,1,0,1,1
