event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
18,36.05512613279732,-94.06509723546492,AR,2002031919,2002031913,2002032001,2002031907,2002032005,57.61170459244839,173.65999794006348,1,57.61170459244839,0.0,22.8799991607666,2263.615037,12,116.04829334761509,137.49304645059553,155.27304645059553,174.29333979821064,223.31533979821063,246.42933979821063,0,0,1,0,0
19,38.34818324581423,-82.51268325476053,WV,2002032011,2002032005,2002032017,2002032003,2002032017,2.4179066148862773,80.02000045776367,1,2.4179066148862773,0.0,12.25,2240.032926,12,77.6020938428774,91.92150696287058,103.5100938428774,115.57,146.1533867851986,160.50150696287056,0,0,1,1,1
20,25.973943588102696,-81.70575270584828,FL,2002032111,2002032105,2002032113,2002032100,2002032123,55.53200000000001,212.25,2,72.11285972719574,0.0,105.5,15.24288258,0,156.718,192.865219468974,223.09121946897403,255.2800282542437,339.37615341646296,379.00015341646287,0,1,0,1,0
21,40.13363363317546,-88.42628387150421,IL,2002032507,2002032504,2002032515,2002032423,2002032516,1.8919972534179688,96.37999725341795,4,4.069989242553703,5.948833887491372,28.75,1307.489778,9,94.488,113.23750041090432,129.286,147.31999999999996,198.6265821696477,226.0120825805521,0,0,1,1,1
22,41.4527035455463,-77.13716744117971,PA,2002032617,2002032611,2002032623,2002032608,2002032715,25.1811915365806,104.01000010967256,148,1058.6435457599605,12.030153053745677,33.0,2145.931859,11,78.82880857309195,93.98621285963792,106.68621285963792,120.82761714618394,159.49076506278664,179.47416934933258,0,0,1,0,1
23,26.67736806167713,-80.91720868162605,FL,2002032621,2002032620,2002032623,2002032610,2002032708,14.142527135401394,154.60000610351562,2,25.92799554800812,5.238532307752736,111.87999725341795,188.7229209,0,140.45747896811423,172.88589274227783,199.4836898662358,227.42368986623583,298.96358260851366,332.23758260851366,0,1,0,0,1
24,33.28113113343539,-80.6236262128063,SC,2002032621,2002032621,2002032702,2002032613,2002032709,3.0864796092194524,121.25,1,3.0864796092194524,0.0,75.12999725341797,2145.931859,4,118.16352039078056,143.9157045583419,169.31570455834188,194.969704558342,261.04088108862976,299.0850453816026,0,0,1,0,1
25,45.14387353246671,-67.29331920963767,ME,2002032716,2002032707,2002032719,2002032705,2002032802,31.8052156383483,117.38999938964844,20,271.7060479926011,8.732997289365128,26.8799991607666,1884.955773,7,85.58478375130014,100.53428398610266,112.15076193623162,123.58076193623164,152.74104592233434,165.23676193623163,0,0,1,0,1
26,34.26063112600631,-86.03136571206448,AL,2002033006,2002033005,2002033017,2002032923,2002033017,15.386440254576556,132.4200028181076,6,61.691917020862746,5.634041358645995,51.130001068115234,1773.42343,12,117.03356256353104,139.58606613237734,157.9712964231296,177.2217999919759,225.93630356082213,248.3320374204207,0,0,1,1,1
27,34.232568726245475,-93.73586657253998,AR,2002033008,2002033007,2002033019,2002033002,2002033020,8.591194228791181,156.65000247955322,2,11.433019833606991,0.0,55.380001068115234,1773.42343,11,148.05880825076204,182.85680825076207,212.8986643960848,245.7253671655785,334.49490689369065,377.4816096631845,0,0,1,1,1
