event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
23,33.8281499466082,-103.11153968606254,2002033009,2002033007,2002033019,63.23326786334238,148.0099983215332,213.0,4141.784089927271,79.5463394815743,33.25,1773.423430063285,12,84.77673045819083,103.63199615478516,118.424530689822,134.20938610372818,176.37339697634573,196.84999084472656,0,0,1,1
24,34.26063112600631,-86.03136571206448,2002033006,2002033005,2002033017,15.386439777092235,132.4200028181076,6.0,61.69195025208786,5.634041358645995,51.130001068115234,1773.423430063285,12,117.03356304101536,139.58606406622175,157.97128790063428,177.2217927867517,225.93629014442487,248.33203125784647,0,0,1,1
25,34.232568726245475,-93.73586657253998,2002033008,2002033007,2002033019,8.591194688966056,156.65000247955322,1.0,8.591194688966056,0.0,55.380001068115234,1773.423430063285,11,148.05880779058717,182.85679807540924,212.89866340753343,245.7253614810529,334.494890340049,377.481588300812,0,0,1,1
26,34.98339605094768,-78.59299923790678,2002033119,2002033119,2002040107,63.60032886787097,185.5200003385544,164.0,2356.9713870881887,97.06541475575756,39.25,1795.2192273516007,10,121.9196714706834,149.60396691959292,173.4401841733344,199.6015358136921,271.1873945097514,307.97559612053954,0,0,1,1
27,32.3430638154373,-83.16102673818187,2002033120,2002033119,2002040103,25.476003408432007,138.75999999046326,17.0,143.82743545879794,17.521867616242485,70.5,1795.2192273516007,8,113.28399658203124,135.12799072265628,152.97588196327845,171.77187603144628,219.74890324735665,241.84690274909497,0,0,1,0
28,41.85542429326307,-83.59138012429798,2002040217,2002040215,2002040300,6.992008805274978,81.16000044345856,16.0,49.57978033856226,30.776830472747747,46.75,1166.4152041256414,8,74.16799163818358,90.67799377441406,104.90200042724608,120.1419982910156,161.12445906472618,180.93645552468712,0,0,1,0
29,29.638899757937107,-81.70376160548125,2002040222,2002040221,2002040300,105.53800475597382,238.37999999523163,6.0,291.2938842784956,10.806982958770217,95.75,153.95723747483677,0,132.8419952392578,163.1614924613475,190.13191780673984,220.18015251882213,303.25540500532145,344.3655564985392,0,1,0,0
30,30.36692455775948,-85.0080778700019,2002040321,2002040317,2002040404,31.56591921233803,187.26000022888184,16.0,193.6663172374093,8.610875517381988,106.25,219.0513934817043,1,155.6940810165438,192.27007026155465,223.7581571502752,257.5401405231093,348.2181986564919,391.8905624769052,0,0,0,0
31,35.66621739775878,-77.01435671618628,2002040401,2002040315,2002040402,1.568231714915484,124.0,1.0,1.568231714915484,0.0,69.12999725341797,583.8929436026788,4,122.43176828508452,150.62576841585266,178.1347167759766,206.836712625586,284.31048384748374,328.5064769798992,0,0,1,1
32,28.83096415068077,-81.6339051242806,2002040422,2002040421,2002040423,15.340005874633787,144.8799991607666,2.0,20.930009841918974,3.7890634372693817,113.75,174.82201741329337,0,129.5399932861328,157.4125941143759,181.530560008702,207.70936314469884,278.2659858663026,312.4885723968038,0,1,0,0
